address,amount
0x88704df21ac8bfb017ef37b42fc3ba7ce80f61bd,15000
0x4c0b07ad19d47994639d18ac2af2ff82a0f95f37,15000
0x068544fc79c336c8b35270d42393ecdf966a475c,15000
0x468be4258e17442563381281f562eee10ef4f62a,15000
0x9204e7a4c6b10bc858ed56d712fa2fcc031a7700,15000
0x8f8f70c9a907fe6120a213d9500e3aa8ac71f531,15000
0x9da9ddcba0fc14b56f03246d032cfb3b83816c00,15000
0x6709fc060b7d85967f2982f923b57e026fb3a7c5,15000
0x59e8ca90beb7f111fa4aec4f9b92cc06b85e1a9f,15000
0x780bf2b98e921376ff03740e307fe812f7e0f7ef,15000
0xebe965eae5cde8adba79023aedd0b8fd2f21281b,15000
0x9e794506646b2c36c168929c19fb880de2833f50,15000
0xd2e02c50569a2c4c52634a113c093725a4ca0d0a,15000
0x39b2c6bf501b8a16b57e2dc6116aca53eccb475d,15000
0xb84a16ca1ef21588903915c0c51a91de6c3bd195,15000
0x574f0fce1b37b35e0b28146326f88caa137bdbe7,15000
0xd0a9d842ada6611ba4706e8b2ba3dfb18d7958bd,15000
0xea177e939516a0b0efdb1f38525a8ecb52f2c133,15000
0xdb865823872526ed3794457dc0e54df931804385,15000
0xef8d9299b50f9e2810ca9071225a128d727b8886,15000
0xabd31f81f1d408c1d4df01e090efd897698bf6f3,15000
0x2722f8a15218dce6aa1c49706882091c6750dce6,15000
0xc4ef4f04b27f35b22fed82661cd5d262698c9e44,15000
0xf14c1692e03e10f584190fd449120aabb98447ab,15000
0x9513d0325207100c8af684740504a1f5d90846e9,15000
0x9d27b1bbf668646e29ba22d4df448d7c9509e62a,15000
0x65c30944903b7b5ca5a4fac5968f6120a784e1b2,15000
0xe397ee5eb230c90d777097eba374bc5fbe97d5b5,15000
0x4c52bfe227b6c583e6360fc5046560a4ae4a75be,15000
0x4f69494698f66018f5c2a0cc653efb7aeea07810,15000
0x1c06a27f410eb07770465ad22099313faf3e26f9,15000
0x7aa52ff4bc10344d4fa11300eb3c61374d4e2231,15000
0xce592a249ddfdc435472637792423895a2d23c4a,15000
0xd1e8f150fb36279175c48e57dd80b7f2179ae709,15000
0x4b5e0250b9252e6080c1ec5915a2fd3c29d7fc45,15000
0x1f151a00932bcb35c40354e29b0554a84c56ee35,15000
0xc82a2bc3d068080f2c34a5bc6b4598306e3f0671,15000
0xee4f209847bf491e2fda556accf033301118019b,15000
0xc490afd8c7824191870ff5edcfba864302f9e1c1,15000
0x26b1693b69324652b60df77f51770d622fe94a0e,15000
0x6f84841fbb01134f0d8302fe8948fc29705c45d2,15000
0xdd4d134908c9261adcaf35bf4677c86729bc9def,15000
0xe0271243df48bfb64bd8ea54cb28ef33acc6abff,15000
0x24cd793f3e5e893180e4e037c45ccfa64b84c0a0,15000
0x0b648160442d37f140746d6d1b336729f882aef4,15000
0x772b98d494a4e8a1e1e6c3eb802273abf7ad6ce4,15000
0x4c6917c557b4377caef9281f5604e336fbe11a0b,15000
0x23ed65702abdb32524f586e42ad13109d9cba5e2,15000
0x64157bcbc2398bce5774b6efbb1cd9221042592e,15000
0xcf78af959e0ff8b7ae45a6fc497934632f878d78,15000
0xa4be994d6d721734c48655231f43b121f4c90e63,15000
0xcb328ab400d2ec93acc0ab515a4900cae2349485,15000
0xbb98c6dbaf8aec02b18d2c4cb0e18b1553e1bf2e,15000
0xe53a685ecc4c29a326d1b3b4bbbfa516d006ce6b,15000
0x85b1b336c1fa324075beb600a2c25f6fc47c9924,15000
0x2d98c352dfa5cdb740e7603a331f10b41c7a89eb,15000
0x8b27351c5a144aac79ae1c4a51f125b4ba00e8fb,15000
0xbe435b47eef09786cd8c855e6899e65da04fdb98,15000
0x553c70074a7ee8f58a2ebdbc3d487fc44075aa42,15000
0xa0fc3290d0f08cd5541856be83e6bcb61ca2f97b,15000
0xd6401d479b452fe87086c9649d24c7fdf9b997fa,15000
0xeafaf963a68a19d3634a9a2cb2d5e4aeed987ac7,15000
0xfac8f35ecaeb1c70eb09a05469d61237d5dfd4a1,15000
0x8d287591de6ce5ca0f0bf933a403528597bb47cb,15000
0xc72124c6debf3c711d391298f0902a2993d4342e,15000
0x85f34837c164cebc37fbc4286ce04dcfc3b35f13,15000
0x5a98f472cd717ca74639e3309523992c98e2f9a1,15000
0x52b704fd2ab24ada318a3b7f4dd652e02e260b2e,15000
0xe3bc4d4503231ab7d559f08138a956427c99c39f,15000
0x474dddd102423dd9deb01dcbbf4a11504b1a337b,15000
0xe9541c48ecb051a6616f7f1ec8a8f73810c85164,15000
0x172a93dbe316b3c4f8677c67ef084e437fbf7462,15000
0xe450cc928bfdad147ba1b2e8ed4bc23883a22e04,15000
0x891b6c7ecbc314b5934ddd8b5ad76d098642761b,15000
0xfcfd65b932a32d419f5d4670007331a3df54732e,15000
0x746c92649680811daaf9911792d9bd9b5c1ea6a6,15000
0xe60aa17050b839ae272bafecfaed8aacf0caf8f4,15000
0xd2ac258edf710001dbc41b79b340dfea7de29d44,15000
