address,amount
0x88704df21ac8bfb017ef37b42fc3ba7ce80f61bd,30000
0xebe965eae5cde8adba79023aedd0b8fd2f21281b,30000
0x4f69494698f66018f5c2a0cc653efb7aeea07810,30000
0x3b50929707ce2c965437b2a400afe96d9c1cf940,30000
0xe80a533bb45178d1c8124f211afce1663cad3261,30000
0xb5b7af6d35ae44734098ab39f6e9a266e1108ea3,30000
0xcb63654cb930d6838c6d32f02ab627dcf80528db,30000
0x63bdf47f4d7b732bf00864cbb1888c5303549041,30000
0x048f2b3d4cbc746e9903cf9bfc07cc92c9a5f574,30000
0xe4b242e7c18aa8453a06e4aa3c3b9f7cbde2dae7,30000
0x1accfeccc3d0249247c9576f39d86892990e368d,30000
0x6e2436f11269bed97cb97da42ff2c82b8e429b53,30000
0x963858fa3cdce52140592ab520473f12cbd5e34a,30000
0x4e46968e3e6740a741ebbca1315306f566cf0837,30000
0x615b1561be701bed9379c13019294b7d09face11,30000
0x35793ba96e5e1faa752cccd00c01dcb4c9902d51,30000
0xbbeabaca9acae7e86ecc799c9e639c9772dc12a1,30000
0xaac82ec70de3d581f031d63f3a809fda08c85b13,30000
0x5fa389f38e8af15ddf0bdaab049819e21dfd272f,30000
0x7978d7a72468f81dd3c33ad2b44097ef2cdea789,30000
0x8705582068705e459b36a32a4dc297433b6cf76d,30000
0x6cf6ba3776bbb4cfa7d5e92177736acb14db3201,30000
0xcefe74b99230feaad28db3a278c72f3d7033a550,30000
0x94e70c8abee7fa8f4fae6a5356af5f2b996e53de,30000
0x6bc18becb96a3c5d46bc95122e0371126e84afa5,30000
0x2293514911b543891665348a38866c527055d95c,30000
0x4908e6e47601227c10721f8967f015a6358eca5c,30000
0xc9483176cb7ef31cdd0024735cb6f86ee12f4ef9,30000
0x618ff7c758bcfe00cce6256881963bada5a09b23,30000
0xa68179e12a402ffc24fb0c37de1a7c4cfae3c5e4,30000
0x994550f5eb03048e21f4541b77599ab36292c9c7,30000
0x329398e03ed0b74e828042ed30ccc5ec20ca969e,30000
0xc987afcbb3e05d72a89b514ef14f68abca07d006,30000
0x219e0835989a63e07d47c3a0acba0a4e4a45ac45,30000
0x95ed27d039fab3cdf50fe27fb837e19e582f7dd6,30000
0xb65210984257817e014b5eae741069ed5aedb4eb,30000
0x903e6b4f428f2afd8b52b042957de21af2cbb8e2,30000
0xd4099c369e786cffbcb7a5191ea82b65ee86d0ac,30000
0x8c106ff1484bbd38acb8da0e55776dfd8ae53185,30000
0xc4d59c13872c0885304e551f67ea75efa7d0b14d,30000
0xf6ecec7185b9b308fd67ea8130946afc2065008c,30000
0xad3ee1b0a63e3442571e0a3fb47200c81fee2bf0,30000
0x61c690f1f383981cf5949b2b03b4b97b284d7b44,30000
0x55cfaeabecff33245926a988c56cb789c257b975,30000
0x7309f6be87401321d7830739e0e634f79eeca2de,30000
0xae924e7f7bea4d0bd95d681e81582e3842260636,30000
0xc7428c6d2c79634b0afe284d6ae90b5b88166f68,30000
0xaf0a2cc59a63db22d09ab8138724d93071355c8d,30000
0x2a206eb039c7fb518b4c78c2234ce9e9e70202b0,30000
0xc21d1d87ff05de1a625bc927ce0f9330c95225cf,30000
0xf0d7a098f38fd79e37800aadca3cf2b5a5e378c4,30000
